Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Africa Eastern and Southern;AFE;GDP (current US$);NY.GDP.MKTP.CD;19291929320;19701861088;21470351753;25704995452;23501645213;26781169144;29120191779;30140087527;32841005863;37702959878;40271576262;44427893671;48248522033;62914436873;78165083862;83344078129;83119185675;94884791932;1.06E+11;1.24E+11;1.56E+11;1.60E+11;1.55E+11;1.60E+11;1.46E+11;1.30E+11;1.47E+11;1.80E+11;1.89E+11;1.94E+11;2.12E+11;2.21E+11;2.20E+11;2.20E+11;2.25E+11;2.52E+11;2.52E+11;2.65E+11;2.50E+11;2.46E+11;2.68E+11;2.41E+11;2.47E+11;3.26E+11;4.05E+11;4.71E+11;5.32E+11;6.12E+11;6.66E+11;6.69E+11;8.04E+11;8.96E+11;9.13E+11;9.28E+11;9.56E+11;8.93E+11;8.55E+11;9.62E+11;9.84E+11;9.78E+11;8.98E+11
Africa Eastern and Southern;AFE;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;;1.06369647;7.453562665;5.740520362;5.473950105;5.594137338;4.058714753;5.813017619;4.04660855;5.178723503;4.855966776;5.100963057;2.203883716;4.458722666;5.839322293;1.42127194;2.444659859;0.743127121;1.647541408;3.174390191;5.707294306;4.181480871;0.204424515;-0.167877109;3.599961556;-0.310670408;1.801654291;3.626758476;4.244825096;2.64672228;0.052977036;-0.086905889;-2.155482749;-0.66603275;2.08726117;4.308948321;5.410609484;3.433427381;1.657682433;2.672356267;3.407951899;3.385072951;4.077465141;3.156647708;5.423483819;6.312341159;6.832110994;7.104249359;4.796819821;1.03940126;4.809783086;4.201991866;3.240975707;4.470305595;4.090918174;2.763242778;2.00453889;2.832287585;2.385829201;1.672924534;-3.575172529
Africa Eastern and Southern;AFE;GDP per capita (current US$);NY.GDP.PCAP.CD;147.4503693;146.8537009;156.017929;182.0440851;162.1695767;180.0173007;190.6362199;192.1262673;203.7834039;227.6587114;236.5337787;253.7284483;267.8373185;339.3872465;409.6685417;424.3373803;411.0623911;455.7538987;495.5466234;563.3845172;687.8003926;684.4539446;641.0801482;643.0978239;570.8205247;495.1211286;541.8333466;643.0956864;656.6264624;656.4657461;696.2238921;703.6546783;682.5868506;665.2429261;659.5899024;722.1697159;701.7341974;718.8542776;660.4719664;635.1433677;672.2054736;591.0884442;589.2068235;757.4497587;916.6033667;1037.727057;1142.955902;1278.971341;1356.529948;1326.251549;1550.121225;1682.287263;1667.992618;1648.867514;1654.314865;1503.859334;1401.281053;1536.206783;1530.161917;1481.425292;1326.663658
Africa Eastern and Southern;AFE;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;;-1.439563231;4.755907897;3.054066912;2.767853885;2.861630019;1.345607818;3.031529945;1.283349352;2.349178535;1.994995373;2.194046059;-0.656139336;1.508600843;2.830432747;-1.475150834;-0.491714025;-2.154074413;-1.280637195;0.196111936;2.654018736;1.175901211;-2.681444176;-3.043260642;0.606346676;-3.201549565;-1.16117088;0.607433431;1.221174614;-0.300789963;-2.779123987;-2.875428417;-4.850139636;-3.363443393;-0.646329874;1.556344783;2.665487164;0.770114663;-0.938969092;0.057874185;0.775420279;0.750836184;1.420663756;0.513774583;2.706074904;3.551638708;4.03791364;4.285223876;2.021803505;-1.650054478;2.007226785;1.406598064;0.464708047;1.662889409;1.304635269;0.029830004;-0.68899212;0.137680996;-0.272525836;-0.93898393;-6.023657975
Africa Eastern and Southern;AFE;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2867.192554;2783.028528;2642.479937;2551.342966;2528.416435;2570.462183;2642.467351;2659.714031;2637.930638;2640.336494;2654.7679;2678.706201;2707.908666;2718.734747;2797.851356;2901.690263;3023.417952;3159.880407;3229.278198;3192.547923;3273.44737;3338.582007;3394.212337;3462.877898;3524.832934;3549.480563;3546.71125;3569.667028;3579.271917;3568.597017;3387.59467
Africa Eastern and Southern;AFE;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1707.477835;1715.662946;1671.694432;1658.553753;1680.411854;1744.692508;1826.610029;1874.575213;1880.768596;1912.197592;1969.533082;2033.223921;2091.735514;2144.215402;2265.391999;2422.431622;2601.297736;2791.79645;2911.079621;2899.931536;3002.385242;3117.244978;3076.278888;3197.542389;3354.646513;3372.021028;3454.156392;3544.280327;3639.14338;3693.060392;3548.209824
Africa Eastern and Southern;AFE;GDP, PPP (constant 2017 international $);NY.GDP.MKTP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.73E+11;8.72E+11;8.52E+11;8.45E+11;8.61E+11;8.99E+11;9.49E+11;9.80E+11;9.97E+11;1.02E+12;1.06E+12;1.09E+12;1.14E+12;1.17E+12;1.24E+12;1.32E+12;1.41E+12;1.51E+12;1.59E+12;1.61E+12;1.70E+12;1.78E+12;1.86E+12;1.95E+12;2.04E+12;2.11E+12;2.16E+12;2.24E+12;2.30E+12;2.36E+12;2.29E+12
Africa Eastern and Southern;AFE;GDP, PPP (current international $);NY.GDP.MKTP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.20E+11;5.38E+11;5.39E+11;5.49E+11;5.72E+11;6.10E+11;6.56E+11;6.91E+11;7.11E+11;7.42E+11;7.84E+11;8.31E+11;8.77E+11;9.23E+11;1.00E+12;1.10E+12;1.21E+12;1.33E+12;1.43E+12;1.46E+12;1.56E+12;1.66E+12;1.68E+12;1.80E+12;1.94E+12;2.00E+12;2.11E+12;2.22E+12;2.34E+12;2.44E+12;2.40E+12
Africa Eastern and Southern;AFE;Methane emissions (kt of CO2 equivalent);EN.ATM.METH.KT.CE;;;;;;;;;;;384746.7182;265076.7091;278192.0872;296153.8053;269903.4576;303388.4675;286699.8136;319345.1963;327883.6744;396278.3059;359098.5521;327764.3155;361468.6268;359525.6917;313396.086;317176.2149;314774.5605;376226.647;313076.9568;341636.5722;330740;331400;337860;338280;344760;350310;352330;357750;374740;377590;377850;382600;405520;417940;426540;443630;444700;472630;491160;496350;515480;523850;534240;538060;543720;554570;563050;564380;570040;;
Africa Eastern and Southern;AFE;Nitrous oxide emissions (thousand metric tons of CO2 equivalent);EN.ATM.NOXE.KT.CE;;;;;;;;;;;316355.1448;204036.1407;215244.8763;230103.8203;200117.7594;230850.3545;212867.1892;242567.1492;245727.4069;308081.4551;275309.9689;240382.1759;270046.0801;264398.0678;217867.8499;215743.0853;210116.1744;267243.991;205320.3594;229784.4551;209670;209330;212110;211680;214300;214790;212410;210570;219470;215020;211260;210450;224400;229140;231320;239810;233690;249430;257080;256110;267280;272840;275740;274830;276360;279960;284380;286140;286710;;
